"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"OrthoPanels","OrthoPanels","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.1-3",NA,"R (>= 3.1.0)","MASS",NA,"testthat, knitr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"oysteR","oysteR","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.1",NA,"R (>= 3.5.0)","cli, dplyr, glue, httr, jsonlite, purrr, rjson, rlang,
stringr, tibble, tidyr, utils, yaml",NA,"covr, httptest, knitr, rmarkdown, testthat (>= 2.1.0)",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"packrat","packrat","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.5.0",NA,"R (>= 3.0.0)","tools, utils",NA,"testthat (>= 0.7), devtools, httr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"pacman","pacman","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.5.1",NA,"R (>= 3.5.0)","remotes, methods, stats, utils",NA,"BiocManager, knitr, lattice, testthat (>= 0.9.0), XML",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"padr","padr","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.5.3",NA,"R (>= 3.0.0)","Rcpp, dplyr (>= 0.6.0), lubridate, rlang","Rcpp","ggplot2, testthat, knitr, rmarkdown, lazyeval, tidyr,
data.table",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"pagedown","pagedown","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.13",NA,NA,"rmarkdown (>= 1.16), bookdown (>= 0.8), htmltools, jsonlite,
later (>= 1.0.0), processx, servr (>= 0.18), httpuv, xfun,
websocket",NA,"promises, testit, xaringan, pdftools, revealjs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"pairwise","pairwise","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.5.0-2",NA,"R (>= 2.10.1)","graphics, stats, methods",NA,"psych",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"pairwiseCI","pairwiseCI","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1-27",NA,"MCPAN, coin(>= 1.3-0)","graphics, stats, boot, MASS, mcprofile",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"pairwiseComparisons","pairwiseComparisons","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","3.1.3",NA,"R (>= 3.6.0)","BayesFactor, dplyr, ipmisc (>= 5.0.2), parameters (>= 0.11.0),
PMCMRplus, purrr, rlang, stats, WRS2",NA,"knitr, rmarkdown, spelling, testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"paletteer","paletteer","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.3.0",NA,"R (>= 2.10)","prismatic, rematch2, rlang, rstudioapi",NA,"covr, gameofthrones (>= 1.0.0), ggplot2 (>= 3.3.0), ggthemes
(>= 4.0.0), harrypotter (>= 2.1.0), knitr, oompaBase, palr,
pals, rmarkdown, scico, testthat (>= 2.1.0), vdiffr,
viridisLite",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"palmerpenguins","palmerpenguins","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.0.3"
"pampe","pampe","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.1.2",NA,"leaps",NA,NA,NA,"xtable","GPL-2",NA,NA,NA,NA,"no","4.0.3"
"pamr","pamr","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.56.1",NA,"R (>= 2.10), cluster, survival",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"pander","pander","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.6.3",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en,
futile.logger, survival, microbenchmark, zoo, nlme, descr,
MASS, knitr, rmarkdown, tables, reshape, memisc, Epi,
randomForest, tseries, gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"pandocfilters","pandocfilters","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1-4",NA,"R (>= 3.0.0)","jsonlite, utils",NA,"knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"panelAR","panelAR","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1",NA,"R (>= 2.15.0)","car",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"Paneldata","Paneldata","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0",NA,NA,NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"panelvar","panelvar","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.5.3",NA,"R (>= 3.4)","knitr, MASS, Matrix (>= 1.2-11), progress, matrixcalc, texreg,
ggplot2, reshape2, methods",NA,"rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"panelView","panelView","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.1.2",NA,"R (>= 2.10)","ggplot2 (>= 2.1.0), gridExtra, grid",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"panelWranglR","panelWranglR","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2.13",NA,"R (>= 3.2.0)","data.table, Hmisc, caret",NA,"testthat (>= 2.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"papeR","papeR","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0-4",NA,"car, xtable","utils, gmodels, graphics, stats",NA,"nlme, knitr, rmarkdown, testthat (>= 0.10.0), foreign","lme4, survival","GPL-2",NA,NA,NA,NA,"no","4.0.3"
"parallelDist","parallelDist","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.4",NA,"R (>= 3.0.2)","Rcpp (>= 0.12.6), RcppParallel (>= 4.3.20)","Rcpp, RcppParallel, RcppArmadillo","dtw, ggplot2, proxy, testthat, RcppArmadillo, RcppXPtrUtils",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"ParallelLogger","ParallelLogger","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.0.1",NA,"R (>= 3.1.0)","snow, xml2, jsonlite, methods, utils",NA,"mailR, testthat, shiny, DT, knitr, rmarkdown",NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.3"
"parallelly","parallelly","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.24.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.4"
"parallelMap","parallelMap","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.5.0",NA,"R (>= 3.0.0)","BBmisc (>= 1.8), checkmate (>= 1.8.0), parallel, stats, utils",NA,"BatchJobs (>= 1.8), batchtools (>= 0.9.6), data.table, Rmpi,
rpart, snow, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"parallelML","parallelML","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2",NA,"R (>= 2.14.0)","parallel (>= 3.1.1), foreach (>= 1.2.0), doParallel (>= 1.0.8)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"ParallelPC","ParallelPC","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2",NA,NA,"methods",NA,"bnlearn, pcalg, parallel, Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"parallelSVM","parallelSVM","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1-9",NA,"R (>= 2.14.0), e1071 (>= 1.6-3)","parallel (>= 3.1.1), foreach (>= 1.2.0), doParallel (>= 1.0.8)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"ParallelTree","ParallelTree","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.3",NA,NA,"stats, ggplot2",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"parameters","parameters","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.12.0",NA,"R (>= 3.4)","bayestestR (>= 0.8.2), insight, methods, stats, utils",NA,"AER, afex, aod, BayesFactor, BayesFM, bbmle, betareg, blme,
boot, brglm2, brms, broom, cAIC4, car, clubSandwich, cluster,
covr, cplm, dplyr, DRR, effectsize (>= 0.4.3), emmeans (>=
1.4), EGAnet (>= 0.7), FactoMineR, fastICA, gam, gamlss, gee,
geepack, ggplot2, GLMMadaptive, glmmTMB, GPArotation, gt,
lavaan, lavaSearch2, lme4, lmerTest, logspline, knitr, MASS,
magrittr, Matrix, mclust, MCMCglmm, mediation, metaBMA,
metafor, mice, mfx, mgcv, multcomp, multimode, MuMIn, M3C,
NbClust, nFactors, nlme, performance (>= 0.7.0), plm,
PMCMRplus, projpred, pscl, psych, quantreg, randomForest,
rmarkdown, rstanarm, sandwich, see, sjstats, spelling, survey,
survival, testthat, TMB, tripack, truncreg, VGAM, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"ParamHelpers","ParamHelpers","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.14",NA,NA,"backports, BBmisc (>= 1.10), checkmate (>= 1.8.2), fastmatch,
methods",NA,"akima, covr, eaf, emoa, GGally, ggplot2, grid, gridExtra,
irace (>= 2.1), lhs, plyr, reshape2, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"params","params","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.7.3",NA,"R (>= 3.0.2), whisker","utils, RcppTOML, glue, readr (>= 1.4.0), purrr",NA,"openxlsx, testthat, knitr, utf8",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.4"
"paropt","paropt","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1",NA,NA,"Rcpp (>= 1.0.4)","Rcpp, RcppArmadillo","knitr, rmarkdown",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"parsedate","parsedate","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2.0",NA,NA,"rematch2",NA,"covr, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"parsnip","parsnip","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.5",NA,"R (>= 2.10)","dplyr (>= 0.8.0.1), rlang (>= 0.3.1), purrr, utils, tibble (>=
2.1.1), generics (>= 0.1.0), glue, magrittr, stats, tidyr (>=
1.0.0), globals, prettyunits, vctrs (>= 0.2.0)",NA,"testthat, knitr, rmarkdown, survival, keras, xgboost, covr,
C50, sparklyr (>= 1.0.0), earth, kernlab, kknn, randomForest,
ranger (>= 0.12.0), rpart, MASS, nlme, modeldata, liquidSVM,
Matrix",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"partitions","partitions","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.10-2",NA,"R (>= 3.6.0)","gmp, polynom, sets, mathjaxr",NA,"testthat",NA,"GPL",NA,NA,NA,NA,"yes","4.0.4"
"party","party","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.3-7",NA,"R (>= 3.0.0), methods, grid, stats, mvtnorm (>= 1.0-2),
modeltools (>= 0.2-21), strucchange","survival (>= 2.37-7), coin (>= 1.1-0), zoo, sandwich (>=
1.1-1)","mvtnorm","TH.data (>= 1.0-3), mlbench, colorspace, MASS, vcd, ipred,
varImp, randomForest",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.4"
"partykit","partykit","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2-13",NA,"R (>= 3.5.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0), randomForest",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.4"
"patchwork","patchwork","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.1.1",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"paws","paws","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.compute (>= 0.1.11), paws.storage (>= 0.1.11),
paws.database (>= 0.1.11), paws.networking (>= 0.1.11),
paws.management (>= 0.1.11), paws.machine.learning (>= 0.1.11),
paws.analytics (>= 0.1.11), paws.security.identity (>= 0.1.11),
paws.application.integration (>= 0.1.11), paws.cost.management
(>= 0.1.11), paws.customer.engagement (>= 0.1.11)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.analytics","paws.analytics","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.application.integration","paws.application.integration","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.common","paws.common","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.3.9",NA,NA,"base64enc, digest, httr, ini, jsonlite, methods, utils, xml2",NA,"covr, rstudioapi, testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.compute","paws.compute","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.cost.management","paws.cost.management","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.customer.engagement","paws.customer.engagement","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.database","paws.database","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.machine.learning","paws.machine.learning","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.management","paws.management","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.networking","paws.networking","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.security.identity","paws.security.identity","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"paws.storage","paws.storage","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.11",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"pbapply","pbapply","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.4-3",NA,"R (>= 3.2.0)","parallel",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"pbdZMQ","pbdZMQ","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.3-5",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"pbivnorm","pbivnorm","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"pbkrtest","pbkrtest","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.5.1",NA,"R (>= 3.5.0), lme4 (>= 1.1.10)","broom, dplyr, magrittr, MASS, Matrix (>= 1.2.3), methods,
numDeriv, parallel, knitr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.4"
"pcaPP","pcaPP","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.9-73",NA,NA,"mvtnorm",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"pco","pco","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.1",NA,"stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"pcse","pcse","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.9.1.1",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"pder","pder","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0-1",NA,"R (>= 3.5.0)",NA,NA,"car, dplyr, ggplot2, lmtest, msm, pglm, plm, splm, survival,
texreg",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"pdftools","pdftools","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.3.1",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","jpeg, png, webp, tesseract, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"pdR","pdR","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.7",NA,"plm, tcltk","boot, car, coefplot, lmtest, sandwich, papeR",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"pdynmc","pdynmc","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.9.3",NA,"R (>= 3.6.0)","data.table (>= 1.12.2), MASS (>= 7.3-51.4), Matrix (>=
1.2-17), optimx (>= 2018-07.10), qlcMatrix (>= 0.9.7), stats
(>= 3.6.0), Rdpack (>= 0.11-0)",NA,"plm (>= 2.2-0), pder (>= 1.0-1), testthat (>= 2.3.2), R.rsp
(>= 0.43.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"penalized","penalized","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.9-51",NA,"R (>= 2.10.0), survival, methods","Rcpp","Rcpp, RcppArmadillo","globaltest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"peopleanalyticsdata","peopleanalyticsdata","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.0",NA,"R (>= 2.10)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"performance","performance","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.7.0",NA,"R (>= 3.4)","insight (>= 0.11.0), bayestestR (>= 0.7.5), stats, utils",NA,"AER, BayesFactor, betareg, bigutilsr, brms, car,
CompQuadForm, correlation, covr, cplm, dbscan, fixest,
forecast, ggplot2, gridExtra, glmmTMB, ICS, ICSOutlier, lavaan,
lme4, lmtest, loo, Matrix, MASS, metafor, mgcv, mlogit, nlme,
nonnest2, ordinal, parallel, parameters, pscl, psych,
randomForest, rmarkdown, rstanarm, rstantools, sandwich, see,
survey, survival, testthat, tweedie, VGAM, spelling",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"PerformanceAnalytics","PerformanceAnalytics","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.0.4",NA,"R (>= 3.5.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, tinytest, ggplot2, RColorBrewer,
googleVis, plotly, gridExtra, ggpubr, RPESE, R.rsp, RobStatTM",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"performanceEstimation","performanceEstimation","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.1.0",NA,"R(>= 3.0), methods","ggplot2 (>= 0.9.3), parallelMap (>= 1.3), parallel, tidyr (>=
0.4.1), dplyr (>= 0.4.3)",NA,"knitr, rmarkdown, devtools, e1071, DMwR, randomForest,
quantmod, nnet, mlbench, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"periscope","periscope","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.6.1",NA,"R (>= 3.5)","shiny (>= 1.1), shinydashboard (>= 0.5), shinyBS (>= 0.61),
lubridate (>= 1.6), DT (>= 0.2), writexl (>= 1.3), ggplot2 (>=
2.2), methods, utils",NA,"knitr, rmarkdown, testthat, shinydashboardPlus, canvasXpress,
openxlsx (>= 3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.4"
"perry","perry","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.0",NA,"R (>= 2.14.1), ggplot2 (>= 0.9.2), parallel, robustbase","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"pewdata","pewdata","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.3.1",NA,NA,"RSelenium, foreign, magrittr, purrr, rio, stringr, tools,
utils",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"pglm","pglm","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2-2",NA,"R (>= 2.10), maxLik, plm","statmod, Formula",NA,"lmtest, car",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"phia","phia","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2-1",NA,"car, graphics, stats","Matrix, grDevices, methods, utils",NA,"nlme, lme4",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"pillar","pillar","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.5.1",NA,NA,"cli, crayon (>= 1.3.4), ellipsis, fansi, lifecycle, rlang (>=
0.3.0), utf8 (>= 1.1.0), utils, vctrs (>= 0.2.0)",NA,"bit64, debugme, DiagrammeR, knitr, lubridate, nycflights13,
palmerpenguins, rmarkdown, survival, testthat (>= 3.0.2),
tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.4"
"pingr","pingr","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.0.1",NA,NA,"processx, utils",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"pins","pins","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.4.5",NA,"R (>= 3.2.0)","backports, base64enc, crayon, digest, filelock, fs, httr,
jsonlite, magrittr, mime, openssl, rappdirs, stats, withr,
yaml, zip",NA,"callr, covr, data.table, knitr, rmarkdown, R6, stringi,
tibble, testthat, xml2",NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.3"
"piton","piton","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.0",NA,NA,"Rcpp","Rcpp","testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"pkgbuild","pkgbuild","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2.0",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, cpp11, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"pkgconfig","pkgconfig","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"pkgload","pkgload","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2.0",NA,NA,"cli, crayon, desc, methods, pkgbuild, rlang, rprojroot,
rstudioapi, utils, withr",NA,"bitops, covr, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.4"
"plm","plm","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.4-1",NA,"R (>= 3.1.0)","MASS, bdsmatrix, zoo, nlme, sandwich, lattice, lmtest, maxLik,
Rdpack, Formula, stats",NA,"AER, car, pcse, clusterSEs, collapse, pglm, spdep, splm,
statmod, urca, Ecdat, pder, stargazer, texreg, foreign, knitr,
rmarkdown, bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.4"
"plogr","plogr","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"plot3D","plot3D","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.3",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.0.3"
"plotly","plotly","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","4.9.3",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr, RColorBrewer, dplyr, vctrs,
tibble, lazyeval (>= 0.2.0), rlang, crosstalk, purrr,
data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, testthat, knitr,
devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, vdiffr, Cairo, broom, webshot, listviewer,
dendextend, sf, maptools, rgeos, png, IRdisplay, processx,
plotlyGeoAssets, forcats, palmerpenguins",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"plotrix","plotrix","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","3.8-1",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"pls","pls","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.7-3",NA,"R (>= 2.10)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
